propietario,horas_ahorradas,ahorro_personal_eur,ahorro_carretilla_equivalente_eur,ahorro_total_equivalente_eur,ahorro_total_realizable_eur,escenario
82,8.0525,177.15,55.36,232.52,0.0,A_conservador
4,5.464,120.21,37.56,157.77,0.0,A_conservador
3,4.6947,103.28,32.28,135.56,0.0,A_conservador
23,4.4177,97.19,30.37,127.56,0.0,A_conservador
95,3.1769,69.89,21.84,91.73,0.0,A_conservador
30,2.6071,57.36,17.92,75.28,0.0,A_conservador
96,2.2594,49.71,15.53,65.24,0.0,A_conservador
5,2.027,44.59,13.94,58.53,0.0,A_conservador
6,1.7474,38.44,12.01,50.46,0.0,A_conservador
89,1.1469,25.23,7.88,33.12,0.0,A_conservador
62,0.6833,15.03,4.7,19.73,0.0,A_conservador
90,0.5973,13.14,4.11,17.25,0.0,A_conservador
29,0.549,12.08,3.77,15.85,0.0,A_conservador
61,0.4968,10.93,3.42,14.35,0.0,A_conservador
86,0.4274,9.4,2.94,12.34,0.0,A_conservador
79,0.3663,8.06,2.52,10.58,0.0,A_conservador
98,0.2569,5.65,1.77,7.42,0.0,A_conservador
12,0.242,5.32,1.66,6.99,0.0,A_conservador
24,0.2039,4.49,1.4,5.89,0.0,A_conservador
77,0.1313,2.89,0.9,3.79,0.0,A_conservador
34,0.1055,2.32,0.73,3.05,0.0,A_conservador
74,0.0838,1.84,0.58,2.42,0.0,A_conservador
46,0.0607,1.33,0.42,1.75,0.0,A_conservador
14,0.0603,1.33,0.41,1.74,0.0,A_conservador
32,0.0357,0.79,0.25,1.03,0.0,A_conservador
76,0.0085,0.19,0.06,0.25,0.0,A_conservador
64,0.0078,0.17,0.05,0.22,0.0,A_conservador
4,10.8637,239.0,74.69,313.69,0.0,B_base_recomendado
82,9.5215,209.47,65.46,274.93,0.0,B_base_recomendado
23,6.9822,153.61,48.0,201.61,0.0,B_base_recomendado
3,6.6849,147.07,45.96,193.03,0.0,B_base_recomendado
95,4.4068,96.95,30.3,127.25,0.0,B_base_recomendado
30,3.9954,87.9,27.47,115.37,0.0,B_base_recomendado
29,3.8411,84.5,26.41,110.91,0.0,B_base_recomendado
96,3.2393,71.26,22.27,93.53,0.0,B_base_recomendado
6,2.4765,54.48,17.03,71.51,0.0,B_base_recomendado
5,2.4557,54.03,16.88,70.91,0.0,B_base_recomendado
62,0.8686,19.11,5.97,25.08,0.0,B_base_recomendado
89,0.6946,15.28,4.78,20.06,0.0,B_base_recomendado
86,0.5287,11.63,3.63,15.26,0.0,B_base_recomendado
79,0.4726,10.4,3.25,13.65,0.0,B_base_recomendado
61,0.373,8.21,2.56,10.77,0.0,B_base_recomendado
98,0.2731,6.01,1.88,7.88,0.0,B_base_recomendado
12,0.2623,5.77,1.8,7.57,0.0,B_base_recomendado
90,0.2269,4.99,1.56,6.55,0.0,B_base_recomendado
24,0.1879,4.13,1.29,5.42,0.0,B_base_recomendado
77,0.1641,3.61,1.13,4.74,0.0,B_base_recomendado
34,0.1325,2.91,0.91,3.82,0.0,B_base_recomendado
74,0.1047,2.3,0.72,3.02,0.0,B_base_recomendado
46,0.0758,1.67,0.52,2.19,0.0,B_base_recomendado
14,0.0754,1.66,0.52,2.18,0.0,B_base_recomendado
76,0.0671,1.48,0.46,1.94,0.0,B_base_recomendado
64,0.0656,1.44,0.45,1.9,0.0,B_base_recomendado
32,0.0294,0.65,0.2,0.85,0.0,B_base_recomendado
4,14.7494,324.49,101.4,425.89,0.0,C_agresivo
82,14.128,310.82,97.13,407.94,0.0,C_agresivo
23,9.5839,210.85,65.89,276.73,0.0,C_agresivo
3,9.408,206.98,64.68,271.66,0.0,C_agresivo
95,5.9365,130.6,40.81,171.42,0.0,C_agresivo
30,5.6909,125.2,39.13,164.33,0.0,C_agresivo
29,5.1533,113.37,35.43,148.8,0.0,C_agresivo
96,4.4217,97.28,30.4,127.68,0.0,C_agresivo
6,3.302,72.64,22.7,95.34,0.0,C_agresivo
5,3.2994,72.59,22.68,95.27,0.0,C_agresivo
62,1.1581,25.48,7.96,33.44,0.0,C_agresivo
89,0.9261,20.37,6.37,26.74,0.0,C_agresivo
86,0.7404,16.29,5.09,21.38,0.0,C_agresivo
79,0.6302,13.86,4.33,18.2,0.0,C_agresivo
61,0.498,10.96,3.42,14.38,0.0,C_agresivo
98,0.3641,8.01,2.5,10.51,0.0,C_agresivo
12,0.3505,7.71,2.41,10.12,0.0,C_agresivo
90,0.3025,6.65,2.08,8.73,0.0,C_agresivo
24,0.2505,5.51,1.72,7.23,0.0,C_agresivo
77,0.2202,4.85,1.51,6.36,0.0,C_agresivo
34,0.1766,3.89,1.21,5.1,0.0,C_agresivo
74,0.1396,3.07,0.96,4.03,0.0,C_agresivo
46,0.1011,2.22,0.7,2.92,0.0,C_agresivo
14,0.1006,2.21,0.69,2.9,0.0,C_agresivo
76,0.0895,1.97,0.62,2.58,0.0,C_agresivo
64,0.0875,1.93,0.6,2.53,0.0,C_agresivo
32,0.0391,0.86,0.27,1.13,0.0,C_agresivo
