propietario,owner_name,pasillos_actuales,num_pasillos_actuales,bloques_discontinuos_actuales,amplitud_pasillos_actual,dispersion_actual,posicion_media_actual,picks_2026,lineas_2026
40,,,0,0,0,0.0,0.0,220,238
4,NOMBRE,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.3639,82.7,147,373
3,ALHAMBRA,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,1.8752,64.67,130,405
23,MAHOU-MARKETING OCIO,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.6928,75.15,108,428
29,MAHOU FUTBOL,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.5385,56.04,82,188
30,EVENTOS COMERCIALES,"6,9,10,11,12,14,15,16,18,20",10,5,13,1.2882,45.86,68,351
96,VENUES,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.2501,61.26,55,190
6,CRAFT,"8,9,10,11,12,13,14,15,16,18,19,20",12,2,11,1.877,66.05,48,121
95,INNOVACION,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,1.6734,85.12,45,243
5,SAN MIGUEL,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,2.6021,70.23,42,110
82,BRUTUS DESARROLLO COMERCIAL,"6,7,8,9,10,11,12,13,14,15,16,20",12,2,13,2.8348,78.56,37,836
62,MAHOU JOVEN,"8,9,10,11,12,13,14,15,16,19",10,2,10,2.186,67.55,34,78
89,BRAND MANAGEMENT MERCADO,"8,9,10,11,12,13,14,15,16,18,19",11,2,10,2.0576,75.06,27,64
90,HUB CONTENIDO & ACTIVACIÓN,"10,11,12,13,14,15,16,20",8,2,9,1.9904,65.56,18,30
61,MAHOU CORPORATIVO,"8,10,12,14,15,16,18,19",8,5,10,2.0882,79.46,9,29
34,CUENTAS NACIONALES,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.2877,86.58,9,20
79,SAN MIGUEL CORPORATIVO,"10,11,12,15,16,20",6,3,9,3.2136,72.83,8,10
98,MAHOU CANAL,"6,7,8,10,11,13,14,18,19,20",10,4,13,3.7469,106.8,6,12
24,MCC MADRID,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,3.0131,64.91,5,7
86,GOLF,"12,15,20",3,3,7,0.3788,65.29,4,71
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,"8,10,11,12,13,14,15,16,18,19",10,3,10,1.6995,78.43,4,24
12,ESPACIOS CERVECERAS,"6,7,8,10,11,12,13,14,19,20",10,3,13,1.9481,87.21,4,9
64,NOMBRE,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.4996,87.69,2,9
14,FUNDACIÓN MAHOU SAN MIGUEL,"6,7,8,9,10,11,12,13,14,15,18,19,20",13,2,13,3.766,91.13,2,5
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,"8,9,10,12,13,14,15,20",8,3,11,4.0291,109.35,2,3
76,UNIDAD INTERNACIONAL MARKETING,"7,8,9,10,11,12,13,14,19,20",10,2,12,3.6217,91.08,2,2
16,,,0,0,0,0.0,0.0,2,2
46,REFEEL,14,1,1,0,0.0,84.0,1,4
32,MCC CENTRO - OESTE,"8,9,10,11,12,13,14,15,16,20",10,2,11,2.2663,70.69,1,1
7,,,0,0,0,0.0,0.0,1,1
87,,,0,0,0,0.0,0.0,1,1
71,BUDWEISER,"9,10,11,12,14,15,16,18,19,20",10,3,10,3.2244,88.84,0,0
72,LA SALVE,"8,9,10,11,12,13,14",7,1,6,2.263,97.06,0,0
80,ABI HORECA,"8,9,10,12,13,14,18",7,3,9,2.4198,71.74,0,0
37,ALHAMBRA CORPORATIVO,"8,9,19,20",4,2,11,4.0247,77.67,0,0
49,NOMBRE,"10,13,15,19",4,4,8,2.1328,132.38,0,0
51,NOMBRE,"9,10,14,19",4,3,9,3.25,97.75,0,0
21,MIXTA,"10,13",2,2,3,0.7347,114.14,0,0
