archivo,tipo,función,se_reutiliza,comentario
main.py,entrypoint,"Carga configuración YAML, prepara logging y lanza el pipeline general de market basket.",si,"Sirve como mapa del flujo principal del repo, pero no se ejecuta directamente para esta simulación."
src/market_basket/pipeline.py,orquestación,"Encadena lectura, limpieza, transacciones, EDA, asociaciones, temporalidad, scoring, clustering y outputs.",si,Se reutiliza como referencia estructural y para identificar outputs ya existentes útiles.
src/market_basket/cleaning.py,limpieza,Aplica filtros de calidad y construye perfiles SKU-localización.,si,Útil conceptualmente por `sku_location_profile`; no se usa directo porque el caso trabaja con la foto real del almacén actual.
src/market_basket/transactions.py,transacciones,"Construye la transacción `pedido externo + propietario`, basket size, `unique_locations_in_basket` y `basket_dispersion_proxy`.",si,Es la pieza más cercana al caso: la unidad `pedido externo + propietario` se adopta como métrica principal de simulación.
src/market_basket/eda.py,eda,"Resume KPIs, artículos, transacciones, propietarios y series temporales.",parcial,Sirve para validar magnitudes de 2026 y para entender la distribución de baskets; no modela distancia física.
src/market_basket/associations.py,market_basket,Calcula afinidades SKU-SKU y reglas de asociación.,no_directo,"No resuelve la pregunta principal porque el caso se lanza por propietario, no por afinidad entre SKUs."
src/market_basket/temporal.py,temporalidad,Mide estabilidad temporal y tendencias de pares SKU-SKU.,no_directo,"Aporta robustez temporal en el repo base, pero no aporta distancia ni layout actual por propietario."
src/market_basket/scoring.py,scoring,Convierte afinidad en recomendaciones de cercanía física entre SKUs.,no_directo,Está pensado para agrupar SKUs; aquí el criterio rector es propietario.
src/market_basket/clustering.py,clustering,Agrupa SKUs en comunidades mediante grafo de afinidad.,no_directo,"Útil para clustering SKU, no para el contrafactual de bloques por propietario."
src/market_basket/outputs.py,outputs,"Escribe CSV/Parquet/Excel, gráficos del pipeline y resumen ejecutivo.",si,"Se reutiliza el patrón de generación reproducible de tablas, gráficos y resumen, pero con un módulo nuevo específico."
src/market_basket/mahou_dimensioning.py,mahou_operativo,"Normaliza fuentes Mahou y prepara stock, movimientos y métricas operativas.",si,Se reutiliza la normalización de columnas y la definición de pasillos activos del almacén actual.
src/market_basket/mahou_layout_detail.py,mahou_layout,Genera el layout detallado del almacén destino y visuales por pasillo.,no_directo,"No se usa para el cálculo porque este caso es solo del almacén actual, pero sirve como referencia de salida detallada."
output/transacciones_resumen.csv,output_existente,Resumen transaccional del pipeline base con `unique_locations_in_basket` y dispersión proxy.,si,"Se usa como apoyo de validación, no como verdad única."
output/sku_location_profile.csv,output_existente,Perfil histórico SKU-localización del pipeline base.,si,"Sirve para contrastar dispersión histórica, aunque el hecho principal sale de la foto real 17-04-2026."
output/mahou_codex_rotacion_2026,output_existente,Layout de destino 2026 del ejercicio anterior.,no_directo,Se descarta para el cálculo central porque el usuario pidió explícitamente no analizar el almacén destino.
nuevo_modulo_beneficio_layout_actual_2026,nueva_pieza,Simula el layout contrafactual del almacén actual 2026 agrupado por propietario y monetiza el impacto.,nueva,Es la pieza que faltaba en el repo: dispersión actual + layout contrafactual + impacto económico en una sola simulación.
