article,hub_degree,hub_weighted_degree,hub_betweenness
014012,15,5.549816433270706,0.0024793388429752063
014014,12,4.059325826238408,0.027823691460055092
012012,11,3.7718465635163163,0.03760330578512396
065072,11,3.6095704840156855,0.002754820936639118
011026,11,3.347631815305706,0.014876033057851238
126105,10,3.289146348765739,0.0011019283746556473
011014,12,3.2512504198638625,0.012258953168044076
084099,8,2.7225427715595565,0.0006887052341597795
016010,9,2.6149375029817885,0.003994490358126722
018000,8,2.583659696149901,0.026859504132231402
061016,9,2.5605202131541276,0.01914600550964187
204000,7,2.349094681720665,0.005785123966942148
012019,6,2.105267124008745,0.0005509641873278236
018091,7,2.00219390222302,0.0005509641873278236
022199,6,1.9777977245490268,0.0
018095,7,1.9494198108233705,0.0002754820936639118
018092,6,1.8928261711785437,0.0
011030,5,1.8922720245629057,0.0
012040,6,1.8789801015433851,0.0008264462809917355
022043,5,1.8752335966370632,0.005785123966942148
202068,6,1.8113921428524997,0.0
031149,6,1.7536603048876354,0.0
204082,6,1.6672513367328197,0.0002754820936639118
011104,5,1.588390231926892,0.0
011105,5,1.4862857441816182,0.0
018094,5,1.472425172511439,0.0
031006,4,1.4559951770935706,0.0
018093,5,1.4329069305804847,0.00041322314049586776
143124,6,1.3893531957398806,0.0009641873278236914
129079,4,1.3741852814869069,0.0
167006,4,1.3284078537929718,0.00041322314049586776
143022,4,1.3165511838619803,0.0
084042,4,1.231650330693435,0.0
011013,4,1.22883862094907,0.0
143122,5,1.1968345387397217,0.0001377410468319559
022009,2,1.1267282367354878,0.0
014030,4,1.0894087616211756,0.001515151515151515
012037,3,1.0739715709529472,0.0
087004,3,1.0175180946441515,0.006336088154269972
031124,3,0.9916107033699122,0.0
143121,4,0.987866063053579,0.0
018073,3,0.968811034992459,0.00977961432506887
013071,2,0.9556792334540679,0.0
013070,2,0.9545273580932319,0.0
201026,3,0.9531968746146295,0.002892561983471074
023080,3,0.952863761331036,0.0012396694214876032
013069,2,0.9363693884468807,0.0
018072,3,0.900330935695402,0.00977961432506887
142003,3,0.8406519800917477,0.00041322314049586776
167004,3,0.8368885772569424,0.002754820936639118
202022,2,0.7718864990246205,0.0
167005,3,0.703405528663371,0.0006887052341597795
011024,3,0.684675609624289,0.001377410468319559
011110,2,0.6649358778084189,0.0
017018,3,0.6583590299634804,0.0
143123,3,0.6579149328110524,0.0005509641873278236
017019,3,0.6552023657116923,0.0001377410468319559
1836BR,2,0.6327664186707733,0.0001377410468319559
121060,3,0.6248528165056939,0.0
129015,3,0.6248528165056939,0.0
121059,3,0.6239822567013473,0.0
051085,3,0.6100870821511509,0.0008264462809917355
146027,3,0.6099882424806589,0.0
016024,2,0.6097044971568645,0.0
087002,1,0.5997379133609695,0.0
012054,2,0.5871296757156873,0.0
012056,2,0.572792330342174,0.0
012055,2,0.5724956521662965,0.0
012025,2,0.5709539359267333,0.0006887052341597795
031045,1,0.5564812232575606,0.0
014000,2,0.5510903446290993,0.0
031047,1,0.5466760425082612,0.0
012053,2,0.5236875396279426,0.004269972451790633
022053,1,0.5200998801935447,0.0
032040,1,0.5200998801935447,0.0
019057,2,0.4958013741713413,0.0
019056,2,0.49497685766237376,0.0
204051,1,0.4854018128464964,0.0
143125,2,0.473918593782901,0.0001377410468319559
017017,2,0.46331620373402527,0.0
072090,2,0.4499527832815046,0.0
74P,1,0.4468224890519446,0.0
092073,2,0.42172276356951366,0.004958677685950413
014024,2,0.40493060802019065,0.004269972451790633
015168,2,0.4007277526572826,0.0
019055,2,0.3880726263350097,0.0
031156,2,0.38623974837784525,0.0002754820936639118
011000,2,0.3750488967176794,0.0005509641873278236
018071,1,0.3702023734225761,0.0
202044,1,0.3625044541968552,0.0
142004,1,0.3494937706316471,0.0
087037,1,0.3252205420836518,0.0
141136,1,0.3252205420836518,0.0
092046,1,0.310618755917747,0.0
093010,1,0.310618755917747,0.0
091045,1,0.3091695454735827,0.0
093002,1,0.3091695454735827,0.0
015171,1,0.29720545471597454,0.0
124235,1,0.29720545471597454,0.0
012016,1,0.29539453623152506,0.0
018086,1,0.2931030178151968,0.0
142008,1,0.27742687035439784,0.0
131142,1,0.2741237484446044,0.0
131143,1,0.2741237484446044,0.0
063014,1,0.2523998740636776,0.0
201027,1,0.24997051136016754,0.0
167002,1,0.24101640473697553,0.0
012062,1,0.2337386178858256,0.0
018076,1,0.23177132477585544,0.0
018002,1,0.23107610988456045,0.0
202062,1,0.2306677158175544,0.0
169003,1,0.22064896129068665,0.0
192032,1,0.22064896129068665,0.0
162030,1,0.21945089694104994,0.0
166032,1,0.21945089694104994,0.0
126100,1,0.21757395950357564,0.0
022021,1,0.2147012457830896,0.0
031026,1,0.2147012457830896,0.0
142002,1,0.21373133910570274,0.0
041068,1,0.18917861951586326,0.0
DD18C,1,0.18594392961882875,0.0
011009,1,0.18186126694241497,0.0
