pasillo_destino,capacidad_teorica,capacidad_estandar_00,capacidad_estandar_10,capacidad_estandar_20,capacidad_estandar_30,capacidad_estandar_40,penalizacion_10,capacidad_util_resultante
1,540.0,108.0,108.0,108.0,108.0,108.0,92.73,447.27
2,540.0,108.0,108.0,108.0,108.0,108.0,26.77,513.23
3,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
4,540.0,108.0,108.0,108.0,108.0,108.0,26.0,514.0
5,540.0,108.0,108.0,108.0,108.0,108.0,21.0,519.0
6,540.0,108.0,108.0,108.0,108.0,108.0,14.33,525.67
7,540.0,108.0,108.0,108.0,108.0,108.0,53.5,486.5
8,540.0,108.0,108.0,108.0,108.0,108.0,5.0,535.0
9,540.0,108.0,108.0,108.0,108.0,108.0,19.0,521.0
10,540.0,108.0,108.0,108.0,108.0,108.0,23.0,517.0
11,540.0,108.0,108.0,108.0,108.0,108.0,41.5,498.5
12,540.0,108.0,108.0,108.0,108.0,108.0,18.0,522.0
