pasillo_destino,propietario,tipologia,mandatory_positions
1,3,suelo_300,20
2,3,suelo_300,10
2,3,suelo_250,44
2,3,suelo_126,15
2,3,balda_9h,15
5,4,suelo_300,6
5,4,suelo_250,15
5,4,suelo_126,10
5,4,balda_9h,2
6,5,suelo_300,11
6,5,suelo_250,5
7,5,suelo_250,21
7,5,suelo_126,6
7,5,balda_9h,4
10,6,suelo_126,1
10,6,balda_9h,1
12,12,suelo_250,2
8,14,suelo_300,2
8,14,suelo_250,3
8,14,suelo_126,1
8,14,balda_9h,7
1,23,suelo_300,13
1,23,suelo_250,30
1,23,suelo_126,22
1,23,balda_9h,4
4,24,suelo_300,7
4,24,suelo_250,15
4,24,suelo_126,6
6,29,suelo_300,9
6,29,suelo_250,4
6,29,suelo_126,6
6,29,balda_9h,1
7,30,suelo_250,5
7,30,suelo_126,5
7,30,balda_9h,1
9,32,suelo_300,3
9,32,suelo_250,3
9,32,suelo_126,1
9,32,balda_9h,1
9,34,suelo_300,3
9,34,suelo_250,13
10,34,suelo_250,11
10,34,suelo_126,7
10,34,balda_9h,3
12,37,suelo_250,4
12,51,suelo_300,1
8,61,suelo_300,1
8,61,balda_9h,1
8,62,suelo_250,6
8,62,suelo_126,2
10,64,suelo_300,9
10,64,suelo_250,5
10,64,suelo_126,1
11,71,suelo_300,2
11,71,suelo_250,4
11,71,suelo_126,2
12,74,suelo_300,1
12,74,suelo_250,5
11,76,suelo_300,7
11,76,suelo_250,8
11,76,suelo_126,1
11,76,balda_9h,1
11,77,suelo_250,3
11,77,balda_9h,2
12,79,balda_9h,1
11,80,suelo_250,1
11,80,suelo_126,2
6,82,suelo_250,16
6,82,suelo_126,1
11,86,suelo_300,1
11,86,suelo_126,1
8,89,suelo_300,1
8,89,suelo_250,6
8,89,suelo_126,2
8,89,balda_9h,1
11,90,suelo_300,1
11,90,suelo_250,1
11,90,balda_9h,1
10,95,suelo_300,6
10,95,suelo_250,1
10,95,balda_9h,1
9,96,suelo_300,4
9,96,suelo_250,12
9,96,suelo_126,7
9,96,balda_9h,4
11,98,suelo_300,2
11,98,suelo_250,3
11,98,suelo_126,2
