pasillo_origen,suelo_300_posiciones,suelo_300_tramos,suelo_250_posiciones,suelo_250_tramos,suelo_126_posiciones,suelo_126_tramos,balda_9h_posiciones,balda_9h_tramos
7,0,,70,todos:001-070,0,,0,
8,0,,84,todos:001-084,0,,0,
9,0,,81,todos:001-084,0,,0,
10,0,,33,par:062-126,0,,33,impar:061-125
11,0,,33,impar:061-125,33,par:062-126,9,par:044-060
12,18,par:002-018 | par:062-078,0,,75,impar:001-041 | impar:061-125 | par:020-060,9,impar:043-059
13,18,impar:001-017 | impar:061-077,9,par:002-006 | par:062-072,44,impar:019-059 | par:014-058,0,
14,0,,53,impar:001-011 | par:002-012 | todos:061-072 | todos:134-162,48,todos:013-060,0,
15,0,,57,impar:001-011 | impar:061-071 | impar:133-161 | par:050-078 | par:134-162,48,impar:013-059 | par:002-048,0,
16,0,,15,impar:049-077,24,impar:001-047,0,
18,63,par:002-126,0,,0,,0,
19,162,todos:001-162,0,,0,,0,
20,81,impar:001-162,81,par:002-162,0,,0,
