pasillo_origen,lado,tipologia,posicion_desde,posicion_hasta,posiciones_contadas,tramo_posiciones,posiciones_detalle,nota
7,todos,suelo_250,1,70,70,001-070,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30...",
8,todos,suelo_250,1,84,84,001-084,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30...",
9,todos,suelo_250,1,84,81,001-084,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30...",
10,impar,balda_9h,61,125,33,061-125,"61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119...",subhuecos 01..09
10,par,suelo_250,62,126,33,062-126,"62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120...",texto original 2.40m tratado como 2.50m
11,par,balda_9h,44,60,9,044-060,"44,46,48,50,52,54,56,58,60",subhuecos 01..09
11,par,suelo_126,62,126,33,062-126,"62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120...",
11,impar,suelo_250,61,125,33,061-125,"61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119...",
12,impar,balda_9h,43,59,9,043-059,"43,45,47,49,51,53,55,57,59",subhuecos 01..09
12,impar,suelo_126,1,41,21,001-041,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41",
12,impar,suelo_126,61,125,33,061-125,"61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119...",
12,par,suelo_126,20,60,21,020-060,"20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60",
12,par,suelo_300,2,18,9,002-018,"2,4,6,8,10,12,14,16,18",
12,par,suelo_300,62,78,9,062-078,"62,64,66,68,70,72,74,76,78",
13,impar,suelo_126,19,59,21,019-059,"19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59",
13,par,suelo_126,14,58,23,014-058,"14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58",
13,par,suelo_250,2,6,3,002-006,"2,4,6",
13,par,suelo_250,62,72,6,062-072,"62,64,66,68,70,72",
13,impar,suelo_300,1,17,9,001-017,"1,3,5,7,9,11,13,15,17",
13,impar,suelo_300,61,77,9,061-077,"61,63,65,67,69,71,73,75,77",
14,todos,suelo_126,13,60,48,013-060,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42...",
14,impar,suelo_250,1,11,6,001-011,"1,3,5,7,9,11",
14,par,suelo_250,2,12,6,002-012,"2,4,6,8,10,12",
14,todos,suelo_250,61,72,12,061-072,"61,62,63,64,65,66,67,68,69,70,71,72",
14,todos,suelo_250,134,162,29,134-162,"134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162",
15,impar,suelo_126,13,59,24,013-059,"13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59",
15,par,suelo_126,2,48,24,002-048,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",
15,impar,suelo_250,1,11,6,001-011,"1,3,5,7,9,11",
15,impar,suelo_250,61,71,6,061-071,"61,63,65,67,69,71",
15,impar,suelo_250,133,161,15,133-161,"133,135,137,139,141,143,145,147,149,151,153,155,157,159,161",
15,par,suelo_250,50,78,15,050-078,"50,52,54,56,58,60,62,64,66,68,70,72,74,76,78",
15,par,suelo_250,134,162,15,134-162,"134,136,138,140,142,144,146,148,150,152,154,156,158,160,162",
16,impar,suelo_126,1,47,24,001-047,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47",
16,impar,suelo_250,49,77,15,049-077,"49,51,53,55,57,59,61,63,65,67,69,71,73,75,77",
18,par,suelo_300,2,126,63,002-126,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60...",lado impar no existe
19,todos,suelo_300,1,162,162,001-162,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30...",
20,par,suelo_250,2,162,81,002-162,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60...",
20,impar,suelo_300,1,162,81,001-162,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59...",
